"","Year","Value","Biological_Comp","Gender"
"225",15,199261.11,"CIN1","Women"
"226",16,181836.8,"CIN1","Women"
"227",17,166569.06,"CIN1","Women"
"228",18,154453.53,"CIN1","Women"
"229",19,145727.67,"CIN1","Women"
"230",20,140335.88,"CIN1","Women"
"231",21,138010.31,"CIN1","Women"
"232",22,138349.11,"CIN1","Women"
"233",23,140880.45,"CIN1","Women"
"234",24,145111.17,"CIN1","Women"
"235",25,150580.49,"CIN1","Women"
"236",26,156884.53,"CIN1","Women"
"237",27,163669.87,"CIN1","Women"
"238",28,170628.09,"CIN1","Women"
"239",29,177494.37,"CIN1","Women"
"240",30,184049.85,"CIN1","Women"
"241",1,0,"CIN23","Men"
"242",2,0,"CIN23","Men"
"243",3,0,"CIN23","Men"
"244",4,0,"CIN23","Men"
"245",5,0,"CIN23","Men"
"246",6,0,"CIN23","Men"
"247",7,0,"CIN23","Men"
"248",8,0,"CIN23","Men"
"249",9,0,"CIN23","Men"
"250",10,0,"CIN23","Men"
"251",11,0,"CIN23","Men"
"252",12,0,"CIN23","Men"
"253",13,0,"CIN23","Men"
"254",14,0,"CIN23","Men"
"255",15,0,"CIN23","Men"
"256",16,0,"CIN23","Men"
"257",17,0,"CIN23","Men"
"258",18,0,"CIN23","Men"
"259",19,0,"CIN23","Men"
"260",20,0,"CIN23","Men"
"261",21,0,"CIN23","Men"
"262",22,0,"CIN23","Men"
"263",23,0,"CIN23","Men"
"264",24,0,"CIN23","Men"
"265",25,0,"CIN23","Men"
"266",26,0,"CIN23","Men"
"267",27,0,"CIN23","Men"
"268",28,0,"CIN23","Men"
"269",29,0,"CIN23","Men"
"270",30,0,"CIN23","Men"
"271",1,76206.82,"CIN23","Women"
"272",2,71400.14,"CIN23","Women"
"273",3,66050.87,"CIN23","Women"
"274",4,60606.96,"CIN23","Women"
"275",5,55435.85,"CIN23","Women"
"276",6,50727.98,"CIN23","Women"
"277",7,46478.6,"CIN23","Women"
"278",8,42607.02,"CIN23","Women"
"279",9,39032.62,"CIN23","Women"
"280",10,35697.31,"CIN23","Women"
"281",11,32566.13,"CIN23","Women"
"282",12,29621.7,"CIN23","Women"
"283",13,26858.89,"CIN23","Women"
"284",14,24280.66,"CIN23","Women"
"285",15,21894.77,"CIN23","Women"
"286",16,19710.52,"CIN23","Women"
"287",17,17741.34,"CIN23","Women"
"288",18,16020.51,"CIN23","Women"
"289",19,14581.45,"CIN23","Women"
"290",20,13444.57,"CIN23","Women"
"291",21,12613.93,"CIN23","Women"
"292",22,12077.82,"CIN23","Women"
"293",23,11811.52,"CIN23","Women"
"294",24,11780.76,"CIN23","Women"
"295",25,11945.16,"CIN23","Women"
"296",26,12261.68,"CIN23","Women"
"297",27,12687.29,"CIN23","Women"
"298",28,13181.02,"CIN23","Women"
"299",29,13705.6,"CIN23","Women"
"300",30,14228.89,"CIN23","Women"
"301",1,0,"Cancer","Men"
"302",2,0,"Cancer","Men"
"303",3,0,"Cancer","Men"
"304",4,0,"Cancer","Men"
"305",5,0,"Cancer","Men"
"306",6,0,"Cancer","Men"
"307",7,0,"Cancer","Men"
"308",8,0,"Cancer","Men"
"309",9,0,"Cancer","Men"
"310",10,0,"Cancer","Men"
"311",11,0,"Cancer","Men"
"312",12,0,"Cancer","Men"
"313",13,0,"Cancer","Men"
"314",14,0,"Cancer","Men"
"315",15,0,"Cancer","Men"
"316",16,0,"Cancer","Men"
"317",17,0,"Cancer","Men"
"318",18,0,"Cancer","Men"
"319",19,0,"Cancer","Men"
"320",20,0,"Cancer","Men"
"321",21,0,"Cancer","Men"
"322",22,0,"Cancer","Men"
"323",23,0,"Cancer","Men"
"324",24,0,"Cancer","Men"
"325",25,0,"Cancer","Men"
"326",26,0,"Cancer","Men"
"327",27,0,"Cancer","Men"
"328",28,0,"Cancer","Men"
"329",29,0,"Cancer","Men"
"330",30,0,"Cancer","Men"
"331",1,717.85,"Cancer","Women"
"332",2,1110.11,"Cancer","Women"
"333",3,1282.43,"Cancer","Women"
"334",4,1325.39,"Cancer","Women"
"335",5,1296.67,"Cancer","Women"
"336",6,1231.45,"Cancer","Women"
"337",7,1149.66,"Cancer","Women"
"338",8,1061.88,"Cancer","Women"
"339",9,973.56,"Cancer","Women"
"340",10,887.5,"Cancer","Women"
"341",11,805.14,"Cancer","Women"
"342",12,727.2,"Cancer","Women"
"343",13,654.12,"Cancer","Women"
"344",14,586.17,"Cancer","Women"
"345",15,523.63,"Cancer","Women"
"346",16,466.72,"Cancer","Women"
"347",17,415.62,"Cancer","Women"
"348",18,370.59,"Cancer","Women"
"349",19,332,"Cancer","Women"
"350",20,300.19,"Cancer","Women"
"351",21,275.3,"Cancer","Women"
"352",22,257.22,"Cancer","Women"
"353",23,245.58,"Cancer","Women"
"354",24,239.78,"Cancer","Women"
"355",25,239.02,"Cancer","Women"
"356",26,242.37,"Cancer","Women"
"357",27,248.85,"Cancer","Women"
"358",28,257.44,"Cancer","Women"
"359",29,267.23,"Cancer","Women"
"360",30,277.37,"Cancer","Women"
