"","Year","Value","Biological_Comp","Gender"
"320",20,0,"Cancer","Men"
"321",21,0,"Cancer","Men"
"322",22,0,"Cancer","Men"
"323",23,0,"Cancer","Men"
"324",24,0,"Cancer","Men"
"325",25,0,"Cancer","Men"
"326",26,0,"Cancer","Men"
"327",27,0,"Cancer","Men"
"328",28,0,"Cancer","Men"
"329",29,0,"Cancer","Men"
"330",30,0,"Cancer","Men"
"331",1,717.85,"Cancer","Women"
"332",2,1098.59,"Cancer","Women"
"333",3,1256.23,"Cancer","Women"
"334",4,1283.91,"Cancer","Women"
"335",5,1241.62,"Cancer","Women"
"336",6,1165.82,"Cancer","Women"
"337",7,1077.17,"Cancer","Women"
"338",8,986.84,"Cancer","Women"
"339",9,900.74,"Cancer","Women"
"340",10,821.84,"Cancer","Women"
"341",11,751.37,"Cancer","Women"
"342",12,689.55,"Cancer","Women"
"343",13,635.94,"Cancer","Women"
"344",14,589.8,"Cancer","Women"
"345",15,550.24,"Cancer","Women"
"346",16,516.38,"Cancer","Women"
"347",17,487.4,"Cancer","Women"
"348",18,462.66,"Cancer","Women"
"349",19,441.67,"Cancer","Women"
"350",20,424.1,"Cancer","Women"
"351",21,409.79,"Cancer","Women"
"352",22,398.62,"Cancer","Women"
"353",23,390.56,"Cancer","Women"
"354",24,385.56,"Cancer","Women"
"355",25,383.59,"Cancer","Women"
"356",26,384.51,"Cancer","Women"
"357",27,388.16,"Cancer","Women"
"358",28,394.27,"Cancer","Women"
"359",29,402.5,"Cancer","Women"
"360",30,412.44,"Cancer","Women"
