"","Year","Value","Biological_Comp","Gender"
"271",1,76206.82,"CIN23","Women"
"272",2,70721.07,"CIN23","Women"
"273",3,64688.8,"CIN23","Women"
"274",4,58621.67,"CIN23","Women"
"275",5,52945.19,"CIN23","Women"
"276",6,47886.79,"CIN23","Women"
"277",7,43504.93,"CIN23","Women"
"278",8,39771.07,"CIN23","Women"
"279",9,36628.08,"CIN23","Women"
"280",10,33998.65,"CIN23","Women"
"281",11,31744.52,"CIN23","Women"
"282",12,29730.48,"CIN23","Women"
"283",13,27856.8,"CIN23","Women"
"284",14,26061.25,"CIN23","Women"
"285",15,24313.16,"CIN23","Women"
"286",16,22605.04,"CIN23","Women"
"287",17,20952.07,"CIN23","Women"
"288",18,19409.9,"CIN23","Women"
"289",19,18042.54,"CIN23","Women"
"290",20,16902.17,"CIN23","Women"
"291",21,16023.25,"CIN23","Women"
"292",22,15422.1,"CIN23","Women"
"293",23,15099.17,"CIN23","Women"
"294",24,15042.01,"CIN23","Women"
"295",25,15227.81,"CIN23","Women"
"296",26,15625.42,"CIN23","Women"
"297",27,16197.27,"CIN23","Women"
"298",28,16901.44,"CIN23","Women"
"299",29,17694.09,"CIN23","Women"
"300",30,18532.25,"CIN23","Women"
"301",1,0,"Cancer","Men"
"302",2,0,"Cancer","Men"
"303",3,0,"Cancer","Men"
"304",4,0,"Cancer","Men"
"305",5,0,"Cancer","Men"
"306",6,0,"Cancer","Men"
"307",7,0,"Cancer","Men"
"308",8,0,"Cancer","Men"
"309",9,0,"Cancer","Men"
"310",10,0,"Cancer","Men"
"311",11,0,"Cancer","Men"
"312",12,0,"Cancer","Men"
"313",13,0,"Cancer","Men"
"314",14,0,"Cancer","Men"
"315",15,0,"Cancer","Men"
"316",16,0,"Cancer","Men"
"317",17,0,"Cancer","Men"
"318",18,0,"Cancer","Men"
"319",19,0,"Cancer","Men"
"320",20,0,"Cancer","Men"
"321",21,0,"Cancer","Men"
"322",22,0,"Cancer","Men"
"323",23,0,"Cancer","Men"
"324",24,0,"Cancer","Men"
"325",25,0,"Cancer","Men"
"326",26,0,"Cancer","Men"
"327",27,0,"Cancer","Men"
"328",28,0,"Cancer","Men"
"329",29,0,"Cancer","Men"
"330",30,0,"Cancer","Men"
"331",1,717.85,"Cancer","Women"
"332",2,1098.59,"Cancer","Women"
"333",3,1256.23,"Cancer","Women"
"334",4,1283.91,"Cancer","Women"
"335",5,1241.61,"Cancer","Women"
"336",6,1165.78,"Cancer","Women"
"337",7,1077.12,"Cancer","Women"
"338",8,986.93,"Cancer","Women"
"339",9,901.28,"Cancer","Women"
"340",10,823.28,"Cancer","Women"
"341",11,753.9,"Cancer","Women"
"342",12,692.47,"Cancer","Women"
"343",13,637.62,"Cancer","Women"
"344",14,587.93,"Cancer","Women"
"345",15,542.2,"Cancer","Women"
"346",16,499.62,"Cancer","Women"
"347",17,459.75,"Cancer","Women"
"348",18,422.68,"Cancer","Women"
"349",19,389.03,"Cancer","Women"
"350",20,359.64,"Cancer","Women"
"351",21,335.28,"Cancer","Women"
"352",22,316.53,"Cancer","Women"
"353",23,303.7,"Cancer","Women"
"354",24,296.79,"Cancer","Women"
"355",25,295.52,"Cancer","Women"
"356",26,299.37,"Cancer","Women"
"357",27,307.58,"Cancer","Women"
"358",28,319.26,"Cancer","Women"
"359",29,333.43,"Cancer","Women"
"360",30,349.08,"Cancer","Women"
