"","Year","Value","Biological_Comp","Gender"
"293",23,20501.16,"CIN23","Women"
"294",24,20907.09,"CIN23","Women"
"295",25,21375.61,"CIN23","Women"
"296",26,21878.85,"CIN23","Women"
"297",27,22393,"CIN23","Women"
"298",28,22899.14,"CIN23","Women"
"299",29,23383.53,"CIN23","Women"
"300",30,23837.37,"CIN23","Women"
"301",1,0,"Cancer","Men"
"302",2,0,"Cancer","Men"
"303",3,0,"Cancer","Men"
"304",4,0,"Cancer","Men"
"305",5,0,"Cancer","Men"
"306",6,0,"Cancer","Men"
"307",7,0,"Cancer","Men"
"308",8,0,"Cancer","Men"
"309",9,0,"Cancer","Men"
"310",10,0,"Cancer","Men"
"311",11,0,"Cancer","Men"
"312",12,0,"Cancer","Men"
"313",13,0,"Cancer","Men"
"314",14,0,"Cancer","Men"
"315",15,0,"Cancer","Men"
"316",16,0,"Cancer","Men"
"317",17,0,"Cancer","Men"
"318",18,0,"Cancer","Men"
"319",19,0,"Cancer","Men"
"320",20,0,"Cancer","Men"
"321",21,0,"Cancer","Men"
"322",22,0,"Cancer","Men"
"323",23,0,"Cancer","Men"
"324",24,0,"Cancer","Men"
"325",25,0,"Cancer","Men"
"326",26,0,"Cancer","Men"
"327",27,0,"Cancer","Men"
"328",28,0,"Cancer","Men"
"329",29,0,"Cancer","Men"
"330",30,0,"Cancer","Men"
"331",1,717.85,"Cancer","Women"
"332",2,1098.59,"Cancer","Women"
"333",3,1256.23,"Cancer","Women"
"334",4,1283.91,"Cancer","Women"
"335",5,1241.61,"Cancer","Women"
"336",6,1165.76,"Cancer","Women"
"337",7,1076.83,"Cancer","Women"
"338",8,985.64,"Cancer","Women"
"339",9,897.69,"Cancer","Women"
"340",10,815.69,"Cancer","Women"
"341",11,740.79,"Cancer","Women"
"342",12,673.32,"Cancer","Women"
"343",13,613.3,"Cancer","Women"
"344",14,560.75,"Cancer","Women"
"345",15,515.68,"Cancer","Women"
"346",16,478.05,"Cancer","Women"
"347",17,447.71,"Cancer","Women"
"348",18,424.36,"Cancer","Women"
"349",19,407.57,"Cancer","Women"
"350",20,396.75,"Cancer","Women"
"351",21,391.22,"Cancer","Women"
"352",22,390.19,"Cancer","Women"
"353",23,392.81,"Cancer","Women"
"354",24,398.25,"Cancer","Women"
"355",25,405.69,"Cancer","Women"
"356",26,414.4,"Cancer","Women"
"357",27,423.75,"Cancer","Women"
"358",28,433.23,"Cancer","Women"
"359",29,442.48,"Cancer","Women"
"360",30,451.25,"Cancer","Women"
